analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed18_dn8.csv,36,0.09297535525405476,0.45393092419742803,0.3609555689433733
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed19_dn8.csv,36,0.09297535525405476,0.4234113131237286,0.33043595786967384
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed17_dn8.csv,36,0.09297535525405476,0.6147705623031268,0.521795207049072
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed18_dn8.csv,36,0.09297535525405476,0.40744324657040065,0.3144678913163459
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed19_dn8.csv,36,0.09297535525405476,0.49835820614015514,0.4053828508861004
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,303,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed17_dn8.csv,36,0.09297535525405476,0.4173589008010963,0.3243835455470415
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,303,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed18_dn8.csv,36,0.09297535525405476,0.5359604273786371,0.4429850721245824
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,303,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed19_dn8.csv,36,0.09297535525405476,0.4981006566796175,0.40512530142556274
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,404,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed17_dn8.csv,36,0.09297535525405476,0.3492370684889149,0.25626171323486013
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,404,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed18_dn8.csv,36,0.09297535525405476,0.23488510801024362,0.14190975275618886
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,404,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed19_dn8.csv,36,0.09297535525405476,0.1540145774014536,0.06103922214739885
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed17_dn8.csv,36,0.05550190874584155,0.3474342222651521,0.29193231351931054
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed18_dn8.csv,36,0.05550190874584155,0.4473634129537206,0.3918615042078791
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed19_dn8.csv,36,0.05550190874584155,0.4182603239129777,0.36275841516713614
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed17_dn8.csv,36,0.05550190874584155,0.4637178036978549,0.4082158949520134
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed18_dn8.csv,36,0.05550190874584155,0.45393092419742803,0.3984290154515865
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed19_dn8.csv,36,0.05550190874584155,0.4234113131237286,0.36790940437788705
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed17_dn8.csv,36,0.05550190874584155,0.6147705623031268,0.5592686535572852
domain_contrast,Surprise,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Surprise,Surprise,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed18_dn8.csv,36,0.05550190874584155,0.40744324657040065,0.3519413378245591
